Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Avengers: Endgame,2797800564,858373000,1939427564,2019.csv,2019,0.306802783245132,0.693197216754868
2,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,1131561399,2015.csv,2015,0.4528824707980417,0.5471175292019583
3,Avengers: Infinity War,2048359754,678815482,1369544272,2018.csv,2018,0.3313946589091205,0.6686053410908794
4,Jurassic World,1670400637,652270625,1018130012,2015.csv,2015,0.39048753368022093,0.6095124663197791
5,The Lion King,1656943394,543638043,1113305351,2019.csv,2019,0.32809693135479556,0.6719030686452044
6,The Avengers,1518812988,623357910,895455078,2012.csv,2012,0.41042440045291473,0.5895755995470853
7,Furious 7,1515047671,353007020,1162040651,2015.csv,2015,0.23300060239490641,0.7669993976050936
8,Frozen II,1450026933,477373578,972653355,2019.csv,2019,0.329217042205105,0.6707829577948949
9,Avengers: Age of Ultron,1402805868,459005868,943800000,2015.csv,2015,0.3272055517235689,0.6727944482764311
10,Black Panther,1346913161,700059566,646853595,2018.csv,2018,0.5197510769589992,0.4802489230410007
11,Harry Potter and the Deathly Hallows: Part 2,1341511219,381011219,960500000,2011.csv,2011,0.2840164238686102,0.7159835761313897
12,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,712358507,2017.csv,2017,0.465412995978239,0.5345870040217611
13,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018.csv,2018,0.3192434036427567,0.6807565963572433
14,Frozen,1280802282,400738009,880064273,2013.csv,2013,0.31288046143565507,0.6871195385643449
15,Beauty and the Beast,1263521126,504014165,759506961,2017.csv,2017,0.3988965080430321,0.6011034919569679
16,Incredibles 2,1242805359,608581744,634223615,2018.csv,2018,0.48968387494698595,0.510316125053014
17,The Fate of the Furious,1236005118,226008385,1009996733,2017.csv,2017,0.1828539232634472,0.8171460767365528
18,Iron Man 3,1214811252,409013994,805797258,2013.csv,2013,0.33668933616363966,0.6633106638363603
19,Minions,1159398397,336045770,823352627,2015.csv,2015,0.28984494964762314,0.7101550503523768
20,Captain America: Civil War,1153296293,408084349,745211944,2016.csv,2016,0.35384172434862754,0.6461582756513724
21,Aquaman,1148461807,335061807,813400000,2018.csv,2018,0.2917483236776023,0.7082516763223977
22,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019,0.345014953583673,0.654985046416327
23,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019,0.3783030882811692,0.6216969117188308
24,Transformers: Dark of the Moon,1123794079,352390543,771403536,2011.csv,2011,0.3135721655639725,0.6864278344360275
25,Skyfall,1108561013,304360277,804200736,2012.csv,2012,0.2745543758356943,0.7254456241643057
26,Transformers: Age of Extinction,1104054072,245439076,858614996,2014.csv,2014,0.22230711540729683,0.7776928845927031
27,The Dark Knight Rises,1081041287,448139099,632902188,2012.csv,2012,0.4145439257399981,0.5854560742600019
28,Joker,1074251311,335451311,738800000,2019.csv,2019,0.3122652097931673,0.6877347902068327
29,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019,0.4796399952420543,0.5203600047579457
30,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019,0.4043601587249657,0.5956398412750342
31,Toy Story 3,1066969703,415004880,651964823,2010.csv,2010,0.3889565737744289,0.6110434262255711
32,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016.csv,2016,0.5039284682810948,0.49607153171890517
33,Aladdin,1050693953,355559216,695134737,2019.csv,2019,0.3384041708670612,0.6615958291329388
34,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,804642000,2011.csv,2011,0.23053325062644625,0.7694667493735537
35,Despicable Me 3,1034799409,264624300,770175109,2017.csv,2017,0.2557252136969475,0.7442747863030524
36,Finding Dory,1028570889,486295561,542275328,2016.csv,2016,0.47278759898871686,0.5272124010112832
37,Alice in Wonderland,1025467110,334191110,691276000,2010.csv,2010,0.32589159295416115,0.6741084070458389
38,Zootopia,1023784195,341268248,682515947,2016.csv,2016,0.3333400238709487,0.6666599761290513
39,The Hobbit: An Unexpected Journey,1017003568,303003568,714000000,2012.csv,2012,0.29793756633113405,0.7020624336688659
40,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,680553613,2010.csv,2010,0.30309484418283916,0.6969051558171608
41,Despicable Me 2,970766005,368065385,602700620,2013.csv,2013,0.3791494377679614,0.6208505622320386
42,The Jungle Book,966550600,364001123,602549477,2016.csv,2016,0.3765981036067848,0.6234018963932152
43,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017.csv,2017,0.42046036900231326,0.5795396309976868
44,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013.csv,2013,0.2695907664711547,0.7304092335288452
45,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014,0.26685617934092387,0.7331438206590761
